2026-05-06T13:13:20 | input='chirp' | intent=chirp | action=play_chirp | approved=True | reason=Action approved.
2026-05-08T18:43:52 | input='poll distance' | intent=poll_distance | action=poll_distance_sensor | approved=True | reason=Action approved.
2026-05-08T18:43:52 | input='status' | intent=status | action=report_status | approved=True | reason=Action approved.
2026-05-08T18:43:52 | input='walk forward' | intent=move | action=step_forward | approved=False | reason='step_forward' is blocked. Mode=shell, movement_enabled=False.
2026-05-08T18:49:02 | input='status' | intent=status | action=report_status | approved=True | reason=Action approved.
2026-05-08T18:49:02 | input='chirp' | intent=chirp | action=play_chirp | approved=True | reason=Action approved.
2026-05-08T18:49:02 | input='walk forward' | intent=move | action=step_forward | approved=False | reason='step_forward' is blocked. Mode=shell, movement_enabled=False.
2026-05-08T18:49:08 | input='status' | intent=status | action=report_status | approved=True | reason=Action approved.
2026-05-08T18:49:08 | input='take a look' | intent=scan | action=head_turn_left_right | approved=True | reason=Action approved.
2026-05-08T18:49:08 | input='how close is that' | intent=distance_status | action=report_distance_status | approved=True | reason=Action approved.
2026-05-08T18:49:08 | input='come here' | intent=move | action=step_forward | approved=False | reason='step_forward' is blocked. Mode=shell, movement_enabled=False.
2026-05-08T18:57:09 | input='status' | intent=status | action=report_status | approved=True | reason=Action approved.
2026-05-08T18:57:09 | input='chirp' | intent=chirp | action=play_chirp | approved=True | reason=Action approved.
2026-05-08T18:57:09 | input='walk forward' | intent=move | action=step_forward | approved=False | reason='step_forward' is blocked. Mode=shell, movement_enabled=False.
2026-05-08T18:57:13 | input='how close is that' | intent=distance_status | action=report_distance_status | approved=True | reason=Action approved.
2026-05-08T18:57:13 | input='come here' | intent=move | action=step_forward | approved=False | reason='step_forward' is blocked. Mode=shell, movement_enabled=False.
2026-05-08T18:57:38 | input='take a look' | intent=scan | action=head_turn_left_right | approved=True | reason=Action approved.
2026-05-08T19:17:08 | input='take a look' | intent=scan | action=head_turn_left_right | approved=True | reason=Action approved.
2026-05-08T19:17:08 | input='how close is that' | intent=idle | action=idle_flutter | approved=True | reason=Action approved.
2026-05-08T19:17:08 | input='walk forward' | intent=move | action=step_forward | approved=False | reason='step_forward' is blocked. Mode=shell, movement_enabled=False.
2026-05-08T19:17:13 | input='take a look' | intent=scan | action=head_turn_left_right | approved=True | reason=Action approved.
2026-05-08T19:17:13 | input='chirp' | intent=chirp | action=play_chirp | approved=True | reason=Action approved.
2026-05-08T19:17:13 | input='come here' | intent=move | action=step_forward | approved=False | reason='step_forward' is blocked. Mode=shell, movement_enabled=False.
2026-05-08T19:17:13 | input='status' | intent=status | action=report_status | approved=True | reason=Action approved.
2026-05-08T19:36:30 | input='status' | intent=status | action=report_status | approved=True | reason=Action approved.
2026-05-08T19:36:30 | input='chirp' | intent=chirp | action=play_chirp | approved=True | reason=Action approved.
2026-05-08T19:36:43 | input='take a look' | intent=scan | action=head_turn_left_right | approved=True | reason=Action approved.
2026-05-08T19:36:43 | input='how close is that' | intent=distance_status | action=report_distance_status | approved=True | reason=Action approved.
2026-05-08T19:43:00 | input='status' | intent=status | action=report_status | approved=True | reason=Action approved. | source=user
2026-05-08T19:43:00 | input='behavior status' | intent=behavior_status | action=report_behavior_status | approved=True | reason=Action approved. | source=user
2026-05-08T19:43:00 | input='behavior tick' | intent=behavior_tick | action=run_behavior_tick | approved=True | reason=Action approved. | source=user
2026-05-08T19:43:05 | input='behavior status' | intent=behavior_status | action=report_behavior_status | approved=True | reason=Action approved. | source=user
2026-05-08T19:43:05 | input='behavior tick' | intent=behavior_tick | action=run_behavior_tick | approved=True | reason=Action approved. | source=user
2026-05-08T19:43:05 | input='[behavior_tick]' | intent=behavior | action=play_chirp | approved=True | reason=Action approved. | source=behavior_scheduler
2026-05-08T19:43:05 | input='behavior tick' | intent=behavior_tick | action=run_behavior_tick | approved=True | reason=Action approved. | source=user
